date,trend_loblaws
2004-01-01,27
2004-02-01,27
2004-03-01,24
2004-04-01,26
2004-05-01,29
2004-06-01,27
2004-07-01,34
2004-08-01,31
2004-09-01,28
2004-10-01,31
2004-11-01,29
2004-12-01,35
2005-01-01,31
2005-02-01,28
2005-03-01,34
2005-04-01,29
2005-05-01,31
2005-06-01,32
2005-07-01,34
2005-08-01,32
2005-09-01,31
2005-10-01,30
2005-11-01,30
2005-12-01,35
2006-01-01,32
2006-02-01,32
2006-03-01,32
2006-04-01,35
2006-05-01,36
2006-06-01,35
2006-07-01,39
2006-08-01,36
2006-09-01,35
2006-10-01,41
2006-11-01,35
2006-12-01,40
2007-01-01,35
2007-02-01,32
2007-03-01,30
2007-04-01,35
2007-05-01,37
2007-06-01,36
2007-07-01,39
2007-08-01,37
2007-09-01,40
2007-10-01,35
2007-11-01,39
2007-12-01,46
2008-01-01,36
2008-02-01,39
2008-03-01,42
2008-04-01,38
2008-05-01,48
2008-06-01,44
2008-07-01,41
2008-08-01,42
2008-09-01,38
2008-10-01,39
2008-11-01,42
2008-12-01,46
2009-01-01,40
2009-02-01,40
2009-03-01,36
2009-04-01,42
2009-05-01,42
2009-06-01,40
2009-07-01,42
2009-08-01,38
2009-09-01,38
2009-10-01,39
2009-11-01,40
2009-12-01,45
2010-01-01,37
2010-02-01,34
2010-03-01,35
2010-04-01,39
2010-05-01,37
2010-06-01,34
2010-07-01,36
2010-08-01,35
2010-09-01,36
2010-10-01,36
2010-11-01,32
2010-12-01,37
2011-01-01,34
2011-02-01,35
2011-03-01,32
2011-04-01,39
2011-05-01,39
2011-06-01,38
2011-07-01,37
2011-08-01,36
2011-09-01,40
2011-10-01,36
2011-11-01,39
2011-12-01,47
2012-01-01,38
2012-02-01,37
2012-03-01,36
2012-04-01,41
2012-05-01,39
2012-06-01,38
2012-07-01,38
2012-08-01,36
2012-09-01,39
2012-10-01,39
2012-11-01,36
2012-12-01,46
2013-01-01,36
2013-02-01,36
2013-03-01,39
2013-04-01,35
2013-05-01,45
2013-06-01,39
2013-07-01,47
2013-08-01,39
2013-09-01,41
2013-10-01,41
2013-11-01,38
2013-12-01,45
2014-01-01,37
2014-02-01,37
2014-03-01,37
2014-04-01,41
2014-05-01,40
2014-06-01,37
2014-07-01,38
2014-08-01,40
2014-09-01,38
2014-10-01,39
2014-11-01,37
2014-12-01,43
2015-01-01,38
2015-02-01,39
2015-03-01,40
2015-04-01,41
2015-05-01,44
2015-06-01,42
2015-07-01,47
2015-08-01,39
2015-09-01,41
2015-10-01,40
2015-11-01,39
2015-12-01,48
2016-01-01,35
2016-02-01,38
2016-03-01,41
2016-04-01,35
2016-05-01,39
2016-06-01,37
2016-07-01,40
2016-08-01,37
2016-09-01,40
2016-10-01,39
2016-11-01,35
2016-12-01,43
2017-01-01,37
2017-02-01,38
2017-03-01,35
2017-04-01,43
2017-05-01,41
2017-06-01,40
2017-07-01,44
2017-08-01,40
2017-09-01,42
2017-10-01,42
2017-11-01,43
2017-12-01,93
2018-01-01,100
2018-02-01,59
2018-03-01,84
2018-04-01,56
2018-05-01,56
2018-06-01,46
2018-07-01,47
2018-08-01,44
2018-09-01,43
2018-10-01,40
2018-11-01,42
2018-12-01,48
2019-01-01,37
2019-02-01,37
2019-03-01,33
2019-04-01,43
2019-05-01,38
2019-06-01,37
2019-07-01,37
2019-08-01,37
2019-09-01,35
2019-10-01,34
